match_id,date,giornata,team,opponent,is_home,team_score,opp_score,result,n_periods,team_fga,team_fgm,team_fta,team_oreb,team_dreb,team_tov,opp_fga,opp_fgm,opp_fta,opp_oreb,opp_dreb,opp_tov,team_pace,opp_pace,game_pace
53388,14/12/2025,11,Famila Wuber Schio,O.ME.P.S. Battipaglia,True,100,52,W,4,71.0,39.0,11.0,18.0,29.0,13.0,56.0,18.0,17.0,11.0,16.0,19.0,70.7,71.3,71.0
53388,14/12/2025,11,O.ME.P.S. Battipaglia,Famila Wuber Schio,False,52,100,L,4,56.0,18.0,17.0,11.0,16.0,19.0,71.0,39.0,11.0,18.0,29.0,13.0,71.3,70.7,71.0
53389,14/12/2025,11,Umana Reyer Venezia,Alama San Martino di Lupari,True,87,66,W,4,66.0,33.0,16.0,13.0,34.0,19.0,74.0,26.0,9.0,14.0,20.0,17.0,78.1,80.0,79.0
53389,14/12/2025,11,Alama San Martino di Lupari,Umana Reyer Venezia,False,66,87,L,4,74.0,26.0,9.0,14.0,20.0,17.0,66.0,33.0,16.0,13.0,34.0,19.0,80.0,78.1,79.0
53390,14/12/2025,11,Logiman Broni,Autosped G Castelnuovo Scrivia,True,63,84,L,4,51.0,24.0,11.0,8.0,16.0,18.0,56.0,33.0,15.0,10.0,22.0,13.0,66.1,66.1,66.1
53390,14/12/2025,11,Autosped G Castelnuovo Scrivia,Logiman Broni,False,84,63,W,4,56.0,33.0,15.0,10.0,22.0,13.0,51.0,24.0,11.0,8.0,16.0,18.0,66.1,66.1,66.1
53391,14/12/2025,11,La Molisana Magnolia Campobasso,Geas Sesto San Giovanni,True,55,60,L,4,60.0,22.0,7.0,11.0,24.0,18.0,54.0,22.0,12.0,5.0,26.0,18.0,69.0,71.4,70.2
53391,14/12/2025,11,Geas Sesto San Giovanni,La Molisana Magnolia Campobasso,False,60,55,W,4,54.0,22.0,12.0,5.0,26.0,18.0,60.0,22.0,7.0,11.0,24.0,18.0,71.4,69.0,70.2
53392,21/12/2025,12,La Molisana Magnolia Campobasso,RMB Brixia Basket San Paolo,True,77,63,W,4,70.0,31.0,8.0,12.0,40.0,13.0,67.0,23.0,15.0,8.0,28.0,8.0,74.0,73.8,73.9
53392,21/12/2025,12,RMB Brixia Basket San Paolo,La Molisana Magnolia Campobasso,False,63,77,L,4,67.0,23.0,15.0,8.0,28.0,8.0,70.0,31.0,8.0,12.0,40.0,13.0,73.8,74.0,73.9
53393,21/12/2025,12,O.ME.P.S. Battipaglia,Umana Reyer Venezia,True,59,82,L,4,62.0,23.0,8.0,8.0,26.0,20.0,61.0,30.0,18.0,7.0,33.0,16.0,77.4,77.9,77.7
53393,21/12/2025,12,Umana Reyer Venezia,O.ME.P.S. Battipaglia,False,82,59,W,4,61.0,30.0,18.0,7.0,33.0,16.0,62.0,23.0,8.0,8.0,26.0,20.0,77.9,77.4,77.7
53394,21/12/2025,12,Alama San Martino di Lupari,Dinamo Banco di Sardegna Sassari,True,68,66,W,4,64.0,25.0,15.0,16.0,28.0,22.0,57.0,25.0,8.0,4.0,23.0,19.0,75.5,75.2,75.3
53394,21/12/2025,12,Dinamo Banco di Sardegna Sassari,Alama San Martino di Lupari,False,66,68,L,4,57.0,25.0,8.0,4.0,23.0,19.0,64.0,25.0,15.0,16.0,28.0,22.0,75.2,75.5,75.3
53395,21/12/2025,12,Autosped G Castelnuovo Scrivia,Geas Sesto San Giovanni,True,69,49,W,4,65.0,26.0,11.0,12.0,29.0,10.0,56.0,18.0,15.0,9.0,27.0,13.0,67.0,66.0,66.5
53395,21/12/2025,12,Geas Sesto San Giovanni,Autosped G Castelnuovo Scrivia,False,49,69,L,4,56.0,18.0,15.0,9.0,27.0,13.0,65.0,26.0,11.0,12.0,29.0,10.0,66.0,67.0,66.5
53396,20/12/2025,12,People Strategy Roseto,Famila Wuber Schio,True,62,91,L,4,75.0,26.0,9.0,15.0,26.0,18.0,68.0,36.0,17.0,9.0,33.0,12.0,80.6,78.7,79.7
